날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율
2024-02-01,한화엔진,2,5,2,9,0.285714244897965,0.7142856122449125
2024-02-01,한화오션,20,1,1,22,0.9523809070294805,0.04761904535147403
2024-02-02,HD한국조선해양,14,7,2,23,0.6666666349206364,0.3333333174603182
2024-02-02,HD현대마린솔루션,19,1,0,20,0.9499999525000024,0.04999999750000012
2024-02-02,HD현대마린엔진,1,0,0,1,0.9999990000010001,0.0
2024-02-02,HD현대미포,15,4,1,20,0.7894736426592819,0.21052630470914185
2024-02-02,HD현대중공업,29,12,0,41,0.7073170559190962,0.2926829196906605
2024-02-02,STX엔진,3,4,1,8,0.4285713673469475,0.57142848979593
2024-02-02,삼성중공업,15,4,0,19,0.7894736426592819,0.21052630470914185
2024-02-02,세진중공업,3,4,1,8,0.4285713673469475,0.57142848979593
2024-02-02,한국카본,5,4,1,10,0.5555554938271674,0.44444439506173394
2024-02-02,한화엔진,6,5,1,12,0.5454544958677732,0.4545454132231443
2024-02-02,한화오션,13,11,1,25,0.5416666440972231,0.4583333142361119
2024-02-03,HD한국조선해양,6,3,1,10,0.6666665925926009,0.33333329629630043
2024-02-03,HD현대마린솔루션,6,0,0,6,0.9999998333333611,0.0
2024-02-03,HD현대미포,4,0,0,4,0.9999997500000625,0.0
2024-02-03,HD현대중공업,5,0,1,6,0.99999980000004,0.0
2024-02-03,STX엔진,0,1,0,1,0.0,0.9999990000010001
2024-02-03,삼성중공업,3,2,1,6,0.599999880000024,0.399999920000016
2024-02-03,한국카본,1,0,0,1,0.9999990000010001,0.0
2024-02-03,한화엔진,0,2,0,2,0.0,0.99999950000025
2024-02-03,한화오션,2,2,0,4,0.49999987500003124,0.49999987500003124
2024-02-04,HD한국조선해양,10,3,0,13,0.7692307100591762,0.23076921301775286
2024-02-04,HD현대마린솔루션,8,4,0,12,0.6666666111111158,0.3333333055555579
2024-02-04,HD현대마린엔진,1,0,0,1,0.9999990000010001,0.0
2024-02-04,HD현대미포,3,1,0,4,0.7499998125000469,0.24999993750001562
2024-02-04,HD현대중공업,17,3,0,20,0.8499999575000021,0.14999999250000037
2024-02-04,삼성중공업,6,2,0,8,0.7499999062500118,0.24999996875000394
2024-02-04,한화엔진,11,1,0,12,0.9166665902777842,0.08333332638888948
2024-02-04,한화오션,16,2,0,18,0.8888888395061756,0.11111110493827195
2024-02-05,HD한국조선해양,19,4,2,25,0.8260869206049165,0.17391303591682453
2024-02-05,HD현대마린솔루션,8,2,0,10,0.7999999200000081,0.19999998000000202
2024-02-05,HD현대미포,6,2,0,8,0.7499999062500118,0.24999996875000394
2024-02-05,HD현대중공업,43,11,1,55,0.7962962815500689,0.20370369993141296
2024-02-05,STX엔진,0,1,0,1,0.0,0.9999990000010001
2024-02-05,삼성중공업,15,2,2,19,0.8823528892733594,0.11764705190311459
2024-02-05,세진중공업,0,1,0,1,0.0,0.9999990000010001
2024-02-05,한국카본,0,1,0,1,0.0,0.9999990000010001
2024-02-05,한화엔진,18,5,0,23,0.7826086616257103,0.21739129489603065
2024-02-05,한화오션,33,6,1,40,0.8461538244575944,0.1538461499013808
2024-02-06,HD한국조선해양,47,19,11,77,0.7121212013314969,0.28787878351698815
2024-02-06,HD현대마린솔루션,15,8,10,33,0.6521738846880919,0.34782607183364905
2024-02-06,HD현대마린엔진,9,6,5,20,0.5999999600000027,0.39999997333333515
2024-02-06,HD현대미포,13,13,6,32,0.49999998076923147,0.49999998076923147
2024-02-06,HD현대중공업,54,21,11,86,0.7199999904000002,0.2799999962666667
2024-02-06,STX엔진,0,1,0,1,0.0,0.9999990000010001
2024-02-06,삼성중공업,22,6,12,40,0.7857142576530622,0.21428570663265334
2024-02-06,세진중공업,1,1,0,2,0.499999750000125,0.499999750000125
2024-02-06,한국카본,1,1,0,2,0.499999750000125,0.499999750000125
2024-02-06,한화엔진,6,6,2,14,0.4999999583333368,0.4999999583333368
2024-02-06,한화오션,20,4,9,33,0.8333332986111125,0.1666666597222225
2024-02-07,HD한국조선해양,24,11,2,37,0.6857142661224496,0.3142857053061227
2024-02-07,HD현대마린솔루션,7,3,0,10,0.699999930000007,0.299999970000003
2024-02-07,HD현대마린엔진,5,2,0,7,0.7142856122449125,0.285714244897965
2024-02-07,HD현대미포,14,4,1,19,0.7777777345679036,0.2222222098765439
2024-02-07,HD현대중공업,37,16,2,55,0.6981131943752228,0.3018867867568531
2024-02-07,STX엔진,2,2,1,5,0.49999987500003124,0.49999987500003124
2024-02-07,삼성중공업,21,16,3,40,0.567567552227904,0.4324324207450697
2024-02-07,세진중공업,2,1,0,3,0.6666664444445185,0.33333322222225925
2024-02-07,한국카본,1,2,1,4,0.33333322222225925,0.6666664444445185
