날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-16,HD한국조선해양,9,7,7,23,0.5624999648437522,0.4374999726562517,0.0225817294801868,0.0,0.0
2024-01-16,HD현대마린솔루션,3,4,0,7,0.4285713673469475,0.57142848979593,0.0,0.0,0.0
2024-01-16,HD현대마린엔진,0,1,0,1,0.0,0.999999000001,0.0,0.0,0.0
2024-01-16,HD현대미포,3,0,1,4,0.9999996666667778,0.0,0.0,0.0,0.0
2024-01-16,HD현대중공업,21,7,3,31,0.7499999732142867,0.2499999910714288,0.0500421409844608,0.0,0.0
2024-01-16,STX엔진,0,0,1,1,0.0,0.0,0.0,0.0,0.0
2024-01-16,삼성중공업,19,8,6,33,0.7037036776406045,0.2962962853223598,0.0261045976101073,0.0,0.0
2024-01-16,세진중공업,0,1,0,1,0.0,0.999999000001,0.0,0.0,0.0
2024-01-16,한국카본,2,3,1,6,0.399999920000016,0.599999880000024,0.0443555342291221,0.0565973044541413,0.054187961076532
2024-01-16,한화엔진,10,2,2,14,0.8333332638888947,0.1666666527777789,0.0,0.0,0.0
2024-01-16,한화오션,30,9,7,46,0.769230749506904,0.2307692248520712,0.0153883639870099,0.00560416544829,0.0
2024-01-17,HD한국조선해양,14,5,1,20,0.7368420664819965,0.2631578808864273,0.0262840156215837,0.0,0.0
2024-01-17,HD현대마린솔루션,3,3,1,7,0.4999999166666805,0.4999999166666805,0.0,0.0,0.0
2024-01-17,HD현대미포,18,2,0,20,0.8999999550000022,0.0999999950000002,0.0165843354710864,0.0,0.0157442212360184
2024-01-17,HD현대중공업,15,6,4,25,0.7142856802721105,0.2857142721088441,0.0412602790694167,0.0,0.0190768200235264
2024-01-17,STX엔진,1,2,0,3,0.3333332222222592,0.6666664444445185,0.0,0.0,0.0
2024-01-17,삼성중공업,10,3,4,17,0.7692307100591762,0.2307692130177528,0.0496245970666269,0.0,0.0
2024-01-17,세진중공업,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-17,한국카본,1,0,1,2,0.999999000001,0.0,0.0,0.0,0.0
2024-01-17,한화엔진,6,2,2,10,0.7499999062500118,0.2499999687500039,0.0,0.0,0.0
2024-01-17,한화오션,19,8,5,32,0.7037036776406045,0.2962962853223598,0.037833830011805,0.0114936445665089,0.0
2024-01-18,HD한국조선해양,17,1,1,19,0.9444443919753116,0.0555555524691359,0.0820877711260949,0.0,0.0
2024-01-18,HD현대마린솔루션,4,2,1,7,0.6666665555555741,0.333333277777787,0.0,0.0,0.0
2024-01-18,HD현대마린엔진,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-18,HD현대미포,10,0,0,10,0.99999990000001,0.0,0.0,0.0,0.0
2024-01-18,HD현대중공업,20,1,3,24,0.9523809070294804,0.047619045351474,0.0971650808744086,0.025514278294109,0.0
2024-01-18,STX엔진,3,0,0,3,0.9999996666667778,0.0,0.0,0.0,0.0
2024-01-18,삼성중공업,29,3,6,38,0.9062499716796883,0.0937499970703126,0.0394620157776059,0.0,0.0
2024-01-18,한국카본,1,2,0,3,0.3333332222222592,0.6666664444445185,0.1012428814938151,0.0,0.0
2024-01-18,한화엔진,6,2,1,9,0.7499999062500118,0.2499999687500039,0.0526907092737571,0.0,0.0
2024-01-18,한화오션,21,6,6,33,0.7777777489711944,0.2222222139917698,0.0225461197907183,0.0,0.0
2024-01-19,HD한국조선해양,13,6,2,21,0.684210490304711,0.3157894570637127,0.0531899417834436,0.0143751154223687,0.0
2024-01-19,HD현대마린솔루션,7,1,0,8,0.8749998906250137,0.1249999843750019,0.0,0.0726279036047123,0.0
2024-01-19,HD현대마린엔진,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.150938711934872,0.0
2024-01-19,HD현대미포,7,2,1,10,0.7777776913580343,0.2222221975308669,0.0553731951314538,0.0706557510335615,0.0
2024-01-19,HD현대중공업,47,8,2,57,0.8545454390082647,0.1454545428099174,0.0314496350709142,0.0059653721425717,0.0057669445654989
2024-01-19,STX엔진,2,0,0,2,0.99999950000025,0.0,0.0,0.0,0.0
2024-01-19,삼성중공업,27,8,4,39,0.7714285493877557,0.2285714220408165,0.0258577790066905,0.0,0.0084286112880369
2024-01-19,세진중공업,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-19,한국카본,3,1,1,5,0.7499998125000469,0.2499999375000156,0.0520707050493205,0.0,0.0
2024-01-19,한화엔진,6,4,0,10,0.599999940000006,0.399999960000004,0.0252645468600588,0.0410026466715312,0.0
2024-01-19,한화오션,17,5,4,26,0.7727272376033073,0.2272727169421492,0.030280350740968,0.0,0.0126429169320554
2024-01-20,HD한국조선해양,5,3,1,9,0.6249999218750099,0.3749999531250059,0.0310949022729951,0.0,0.0
2024-01-20,HD현대마린솔루션,2,1,0,3,0.6666664444445185,0.3333332222222592,0.0,0.0,0.0
2024-01-20,HD현대미포,2,0,0,2,0.99999950000025,0.0,0.0,0.0,0.0
2024-01-20,HD현대중공업,8,1,1,10,0.8888887901234679,0.1111110987654334,0.0299671238365474,0.0,0.0
2024-01-20,STX엔진,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-20,삼성중공업,5,2,0,7,0.7142856122449125,0.285714244897965,0.0,0.0,0.0
2024-01-20,한화엔진,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-20,한화오션,7,0,1,8,0.9999998571428776,0.0,0.0,0.0,0.0
2024-01-21,HD한국조선해양,4,2,2,8,0.6666665555555741,0.333333277777787,0.0241921260493002,0.0,0.0
2024-01-21,HD현대미포,2,3,0,5,0.399999920000016,0.599999880000024,0.0,0.0,0.0
2024-01-21,HD현대중공업,9,2,2,13,0.8181817438016598,0.1818181652892577,0.0590231864524629,0.0,0.0
2024-01-21,삼성중공업,6,2,3,11,0.7499999062500118,0.2499999687500039,0.0736745165426479,0.0,0.0
2024-01-21,한화엔진,5,0,0,5,0.99999980000004,0.0,0.0489732861850607,0.0,0.0
2024-01-21,한화오션,8,2,3,13,0.7999999200000081,0.199999980000002,0.0226275903929892,0.0,0.0
2024-01-22,HD한국조선해양,27,3,11,41,0.899999970000001,0.0999999966666667,0.0905897004043694,0.0084902264321623,0.0
2024-01-22,HD현대마린솔루션,16,3,1,20,0.8421052188365674,0.1578947285318563,0.0119857881478901,0.0174049641859329,0.0
2024-01-22,HD현대미포,2,2,1,5,0.4999998750000312,0.4999998750000312,0.0,0.0,0.0
2024-01-22,HD현대중공업,66,14,10,90,0.8249999896875001,0.1749999978125,0.0944033645223046,0.0090750476588547,0.0
2024-01-22,삼성중공업,14,9,4,27,0.6086956257088858,0.3913043308128551,0.0396455350125881,0.0,0.0
2024-01-22,세진중공업,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-22,한국카본,7,2,0,9,0.7777776913580343,0.2222221975308669,0.0,0.0,0.0
2024-01-22,한화엔진,9,4,1,14,0.6923076390532585,0.3076922840236705,0.0571808844150823,0.0,0.0
